name,team,battingStyle,bowlingStyle,playingRole,image,description
Reece Topley,RCB,Right hand Bat,Left arm Fast medium,Bowler,https://cricclubs.com/documentsRep/profilePics/ffc537ef-2699-4aee-b383-589a847434be.jpeg,"A left-arm seamer with a fearsome yorker but a chequered injury history, Reece Topley's career was in peril before his 25th birthday as he suffered a series of stress fractures that left him wondering whether he would ever be able to play again."
Will Jacks,RCB,Right hand Bat,Right arm Offbreak,Batting Allrounder,https://fantasykhiladi.com/wp-content/uploads/2024/03/Will-Jacks.webp,
Saurav Chauhan,RCB,Left hand Bat,Right arm Offbreak,Top order Batter,https://cricclubs.com/documentsRep/profilePics/21eb4d62-1ff9-4a9c-aa8f-bce53705fac6.jpeg,
Gerald Coetzee,MI,Right hand Bat,Right arm Fast,Bowler,https://www.mumbaiindians.com/static-assets/waf-images/6d/89/60/16-9/1920-1080/a4aGZ08G1i.jpg,
Kane Williamson,GT,Right hand Bat,Right arm Offbreak,Top order Batter,https://documents.iplt20.com/ipl/IPLHeadshot2024/65.png,
Mahipal Lomror,RCB,Left hand Bat,Slow Left arm Orthodox,Allrounder,https://ipltable.in/wp-content/uploads/2024/03/image-50-700x700.jpeg,"Born and brought up in Rajasthan, Mahipal Lomror started as a specialist batsman and later turned into an allrounder, who could bowl left-arm spin. Lomror is an aggressive batsman who fearlessly goes for the big shots, much like how his role model Adam Gilchrist used to. "
Shreyas Gopal,MI,Right hand Bat,Legbreak,Allrounder,https://documents.iplt20.com/ipl/IPLHeadshot2024/192.png,
Rohit Sharma,MI,Right hand Bat,Right arm Offbreak,Top order Batter,https://crictoday.com/wp-content/uploads/2024/04/rohit_sharma_mi_captain_1650613773329_1650888605015.png,
Tilak Varma,MI,Left hand Bat,Right arm Offbreak,Batting Allrounder,https://documents.iplt20.com/ipl/IPLHeadshot2025/993.png,
Mohammad Nabi,MI,Right hand Bat,Right arm Offbreak,Allrounder,https://documents.iplt20.com/ipl/IPLHeadshot2024/217.png,"Mohammad Nabi hails from a well-to-do family that moved to Peshawar in Pakistan, seeking a safe haven from the Soviet War in Afghanistan. An efficient allrounder - a strong middle-order batsman who can bowl flighted offspin - Nabi's rise, like Afghanistan's, has been staggering. He has been at the centre of the side since their time in the ICC's World Cricket League Division Five, from where Afghanistan began their rise to the international stage."
